,name,date_of_emergence_min,adults_id,well_number,larviposition_id,larviposition_date,larviposition_number,weekend,abortion_stage,abortion,wet_weight,pupa_length,pupa_width,emerged,date_emerged,date_of_death,weekend_death,sex,treatment,weight_emerged,dry_weight,residual_dry_weight,mAgeDays,fat,mAgeBins,pred1,pred2
1,Control,27/07/2018,77,g5,1,13/08/2018,1,1,0,0,32.3,5.92,3.48,0,NA,NA,0,NA,measurment and emergence,NA,NA,NA,17,NA,NA,26.59020088,30.23927945
2,Control,27/07/2018,23,b11,2,14/08/2018,1,0,0,0,28.3,NA,NA,1,13/09/2018,20/09/2018,0,m,emergence only,28.3,NA,NA,18,NA,22,26.96969794,27.64302375
3,Control,27/07/2018,36,c12,3,14/08/2018,1,0,0,0,30,NA,NA,1,11/09/2018,20/09/2018,0,f,emergence only,30,NA,NA,18,NA,22,26.96969794,27.89357246
4,Control,27/07/2018,61,f1,4,14/08/2018,1,0,0,0,29,NA,NA,1,12/09/2018,20/09/2018,0,m,emergence only,29,NA,NA,18,NA,22,26.96969794,26.48962324
5,Control,27/07/2018,67,f7,5,14/08/2018,1,0,0,0,29.8,5.58,3.43,1,10/09/2018,19/09/2018,0,f,measurment and emergence,29.8,NA,NA,18,NA,22,26.96969794,29.03709495
13,Control,27/07/2018,27,c3,13,15/08/2018,1,0,0,0,29.6,NA,NA,1,13/09/2018,21/09/2018,0,m,emergence only,29.6,NA,NA,19,NA,22,27.3411679,28.51976456
14,Control,27/07/2018,53,e5,14,15/08/2018,1,0,0,0,28.1,NA,NA,1,12/09/2018,20/09/2018,0,m,emergence only,28.1,NA,NA,19,NA,22,27.3411679,29.04773354
19,Control,27/07/2018,4,a4,19,16/08/2018,1,0,0,0,30.9,5.86,3.29,1,12/09/2018,20/09/2018,0,f,measurment and emergence,30.9,NA,NA,20,NA,22,27.70461074,27.67239002
20,Control,27/07/2018,21,b9,20,16/08/2018,1,0,0,0,28.7,5.83,3.34,1,13/09/2018,24/09/2018,1,f,measurment and emergence,28.7,NA,NA,20,NA,22,27.70461074,29.15639492
21,Control,27/07/2018,11,a11,21,16/08/2018,1,0,0,0,30,NA,NA,0,NA,NA,0,NA,fat analysis,30,10.5,5.8,20,4.7,22,27.70461074,26.97970409
22,Control,27/07/2018,12,a12,22,16/08/2018,1,0,0,0,26.7,5.68,3.33,1,12/09/2018,21/09/2018,0,f,measurment and emergence,26.7,NA,NA,20,NA,22,27.70461074,28.27736777
23,Control,27/07/2018,17,b5,23,16/08/2018,1,0,0,0,27,NA,NA,0,NA,NA,0,NA,fat analysis,27,9.2,5.8,20,3.4,22,27.70461074,26.16882006
24,Control,27/07/2018,32,c8,24,16/08/2018,1,0,0,0,30.6,5.76,3.47,1,14/09/2018,24/09/2018,1,m,measurment and emergence,30.6,NA,NA,20,NA,22,27.70461074,31.23992115
25,Control,27/07/2018,34,c10,25,16/08/2018,1,0,0,0,30.6,NA,NA,0,NA,NA,0,NA,fat analysis,30.6,6.6,6.3,20,0.3,22,27.70461074,29.30125995
26,Control,27/07/2018,39,d3,26,16/08/2018,1,0,0,0,31.7,NA,NA,0,NA,NA,0,NA,fat analysis,31.7,11,5,20,6,22,27.70461074,28.34687515
27,Control,27/07/2018,40,d4,27,16/08/2018,1,0,0,0,32.5,NA,NA,1,17/09/2018,24/09/2018,1,m,emergence only,32.5,NA,NA,20,NA,22,27.70461074,30.59902657
28,Control,27/07/2018,41,d5,28,16/08/2018,1,0,0,0,25.1,5.7,3.18,1,14/09/2018,24/09/2018,1,m,measurment and emergence,25.1,NA,NA,20,NA,22,27.70461074,27.1946325
29,Control,27/07/2018,43,d7,29,16/08/2018,1,0,0,0,27.5,5.31,3.24,1,13/09/2018,24/09/2018,1,f,measurment and emergence,27.5,NA,NA,20,NA,22,27.70461074,27.90580734
30,Control,27/07/2018,48,d12,30,16/08/2018,1,0,0,0,26,NA,NA,0,NA,NA,0,NA,fat analysis,26,9.2,5.7,20,3.5,22,27.70461074,26.95797768
31,Control,27/07/2018,55,e7,31,16/08/2018,1,0,0,0,28.3,NA,NA,0,NA,NA,0,NA,fat analysis,28.3,10.3,6.3,20,4,22,27.70461074,28.34478674
32,Control,27/07/2018,63,f3,32,16/08/2018,1,0,0,0,27.9,NA,NA,1,17/09/2018,24/09/2018,1,m,emergence only,27.9,NA,NA,20,NA,22,27.70461074,27.64036983
33,Control,27/07/2018,69,f9,33,16/08/2018,1,0,0,0,28.8,5.8,3.35,1,14/09/2018,21/09/2018,0,m,measurment and emergence,28.8,NA,NA,20,NA,22,27.70461074,28.34475831
34,Control,27/07/2018,73,g1,34,16/08/2018,1,0,0,0,32.4,NA,NA,1,17/09/2018,24/09/2018,1,m,emergence only,32.4,NA,NA,20,NA,22,27.70461074,31.00128464
35,Control,27/07/2018,78,g6,35,16/08/2018,1,0,0,0,30.5,NA,NA,0,NA,NA,0,NA,fat analysis,30.5,11,6.9,20,4.1,22,27.70461074,28.90085381
36,Control,27/07/2018,81,g9,36,16/08/2018,1,0,0,0,29.1,5.74,3.34,1,17/09/2018,24/09/2018,0,m,measurment and emergence,29.1,NA,NA,20,NA,22,27.70461074,28.79985752
37,Control,27/07/2018,85,h1,37,16/08/2018,1,0,0,0,27.5,NA,NA,0,NA,NA,0,NA,fat analysis,27.5,9.8,6.2,20,3.6,22,27.70461074,26.2391247
