Date,Tray,check,U_count,A_count,P_count,G_total,Mg_avg
23/04/12,12,,NA,NA,NA,NA,NA
23/04/12,11,-1,NA,NA,NA,NA,NA
23/04/12,10,-1,0,0,0,NA,NA
23/04/12,9,-1,NA,NA,14,0.39,NA
23/04/12,8,-1,1,3,163,3.95,24.23
23/04/12,7,-1,2,0,123,3.28,26.67
23/04/12,6,-1,2,3,188,4.95,26.33
23/04/12,5,-1,3,2,175,4.64,26.51
23/04/12,4,-1,0,1,142,3.88,27.32
23/04/12,3,-1,0,0,137,3.69,26.93
23/04/12,2,-1,2,3,148,4.18,28.24
23/04/12,1,-1,1,7,164,4.27,26.04
24/04/12,12,11,NA,NA,NA,NA,NA
24/04/12,11,-1,NA,NA,NA,NA,NA
24/04/12,10,-1,0,0,0,NA,NA
24/04/12,9,-1,0,2,42,1.01,24
24/04/12,8,-1,0,2,52,1.26,24.2
24/04/12,7,-1,0,0,81,2.06,25.4
24/04/12,6,-1,0,1,63,1.69,26.8
24/04/12,5,-1,1,2,55,1.51,27.5
24/04/12,4,-1,2,2,85,2.4,28.2
24/04/12,3,-1,1,2,72,1.96,27.2
24/04/12,2,-1,0,0,47,1.31,27.9
24/04/12,1,-1,4,5,46,1.27,27.6
26/04/12,12,11,NA,NA,NA,NA,NA
26/04/12,11,-1,NA,NA,NA,NA,NA
26/04/12,10,-1,0,1,4,0.1,25
26/04/12,9,-1,0,0,0,NA,NA
26/04/12,8,-1,3,0,153,3.74,24.44
26/04/12,7,-1,3,1,93,2.46,26.45
26/04/12,6,-1,4,7,153,3.88,25.4
26/04/12,5,-1,4,3,165,4.39,26.61
26/04/12,4,-1,1,3,120,3.22,26.83
26/04/12,3,-1,5,3,123,3.42,27.81
26/04/12,2,-1,8,0,135,3.7,27.41
26/04/12,1,-1,6,4,153,4.04,26.11
30/04/12,12,11,NA,NA,NA,NA,NA
30/04/12,11,-1,NA,NA,NA,NA,NA
30/04/12,10,-1,NA,NA,NA,NA,NA
30/04/12,9,-1,0,0,2,NA,NA
30/04/12,8,-1,2,3,68,1.67,23.86
30/04/12,7,-1,1,3,155,4.07,26.26
30/04/12,6,-1,2,5,155,3.87,24.97
30/04/12,5,-1,4,2,158,4.38,27.72
30/04/12,4,-1,1,0,140,3.96,28.29
30/04/12,3,-1,0,0,126,3.58,28.41
30/04/12,2,-1,3,4,143,3.96,27.69
30/04/12,1,-1,4,4,118,3.16,26.78
02/05/12,12,11,NA,NA,NA,NA,NA
02/05/12,11,-1,NA,NA,NA,NA,NA
02/05/12,10,-1,0,0,0,NA,NA
02/05/12,9,-1,0,0,16,0.4,25
02/05/12,8,-1,3,3,56,1.41,25.18
02/05/12,7,-1,2,3,68,1.75,25.74
02/05/12,6,-1,3,5,44,1.18,26.82
02/05/12,5,-1,1,3,94,2.61,27.77
02/05/12,4,-1,0,1,85,2.41,28.35
02/05/12,3,-1,6,3,78,2.15,27.56
02/05/12,2,-1,4,2,44,1.22,27.73
02/05/12,1,-1,8,12,32,0.83,25.94
03/05/12,12,11,NA,NA,NA,NA,NA
03/05/12,11,-1,NA,NA,NA,NA,NA
03/05/12,10,-1,0,1,2,NA,NA
03/05/12,9,-1,0,0,1,NA,NA
03/05/12,8,-1,0,3,69,1.68,24.35
03/05/12,7,-1,4,2,113,2.8,24.78
03/05/12,6,-1,6,3,100,2.52,25.2
03/05/12,5,-1,4,4,116,3,25.86
03/05/12,4,-1,1,6,95,2.55,26.84
03/05/12,3,-1,2,1,103,2.95,28.64
03/05/12,2,-1,4,2,109,3.1,28.44
03/05/12,1,-1,7,6,115,NA,NA
07/05/12,12,11,NA,NA,NA,NA,NA
07/05/12,11,-1,NA,NA,NA,NA,NA
07/05/12,10,-1,0,0,0,NA,NA
07/05/12,9,-1,0,0,5,0.13,26
07/05/12,8,-1,0,1,102,2.59,25.39
07/05/12,7,-1,4,3,151,3.99,26.4
07/05/12,6,-1,2,4,136,3.54,26.03
07/05/12,5,-1,2,7,149,3.82,25.64
07/05/12,4,-1,0,0,136,4.04,29.7
07/05/12,3,-1,4,1,123,3.42,27.85
07/05/12,2,-1,0,4,134,3.77,28.13
07/05/12,1,-1,11,5,123,3.26,26.5
09/05/12,12,11,NA,NA,NA,NA,NA
09/05/12,11,-1,NA,NA,NA,NA,NA
09/05/12,10,-1,0,0,0,NA,NA
09/05/12,9,-1,0,0,20,0.49,24.5
09/05/12,8,-1,0,1,53,1.25,23.58
09/05/12,7,-1,2,7,45,1.15,25.56
09/05/12,6,-1,1,2,73,1.91,26.16
